# C3S1 C3P2 C1S0 Ct1S0pp Ct1S0nn C3P0 C3P1 Ct1S0np cE CE1 Ct3S1 c3 c1 cD C1P1 c4 
9.573526174452140491e-01 -8.357765542933465186e-01 2.325507946635695156e+00 -1.527146116582870916e-01 -1.525493170185119596e-01 1.242283438716214050e+00 -9.488475740164910022e-01 -1.525633625989216979e-01 1.480373092279715586e+00 5.258419775090441561e-01 -1.813026285675126970e-01 -3.908367231929848806e+00 -1.209969982235626240e+00 -3.989156796904074209e-01 5.314150136897041188e-01 3.306331604240427158e+00
9.475502518277842956e-01 -9.512292829503435909e-01 2.140280173558732901e+00 -1.575826659665949536e-01 -1.576817862807155246e-01 1.552213234673590625e+00 -1.003982925846294894e+00 -1.570651524493744400e-01 1.367073229391359224e+00 7.188527170378127273e-01 -1.817492212700916598e-01 -3.918018076483885448e+00 -1.275414073391621050e+00 1.094315219339637713e-01 5.594840357078906257e-01 3.708151404126537543e+00
9.993814535848170033e-01 -9.544775282041534359e-01 3.028072944866277982e+00 -1.517281273902930105e-01 -1.512761958654753602e-01 1.391941842601951196e+00 -1.187741107370971605e+00 -1.513288829790071233e-01 -1.174707315465869151e+00 6.584560351181014681e-01 -1.781560910789189156e-01 -3.153432324546965315e+00 -1.011709007910211566e+00 2.026027008178040933e+00 5.387008218006467120e-01 3.350937322257167228e+00
9.244591177084884315e-01 -8.878925252277695135e-01 2.928968830350099140e+00 -1.563591223654102191e-01 -1.563752508986546719e-01 1.262749137717511294e+00 -9.184410309597900168e-01 -1.557447939268198078e-01 8.924246518306588882e-02 4.972261872160941842e-01 -1.809130927526893251e-01 -3.278410236319597271e+00 -1.226815597032238747e+00 3.772194733025716618e-01 4.689205482233129718e-01 4.019533245569949287e+00
8.108518917495867173e-01 -6.638119574857490601e-01 2.852008948156803836e+00 -1.590260729522960104e-01 -1.598117591995249498e-01 1.212586897495814275e+00 -1.052956627871868722e+00 -1.588326174930051182e-01 6.563952718972121403e-02 5.599398402665999308e-01 -1.801275939244516566e-01 -4.196246786646965710e+00 -9.354687785903378350e-01 -4.342244854083421313e-02 4.811931582067385249e-01 3.878303403902881197e+00
9.141951096385821929e-01 -8.531671379105367770e-01 2.910575768568286037e+00 -1.529709500636465269e-01 -1.534226516795094142e-01 1.279562127071287581e+00 -1.209607696236661090e+00 -1.536474653816032043e-01 2.466578852096097396e-01 6.187879059148859717e-01 -1.732982265631852481e-01 -3.955374593242453773e+00 -1.136546619173877781e+00 3.170957934735564310e-01 5.912859937249197451e-01 3.301971221131261292e+00
9.104303046960779966e-01 -9.405638725593915561e-01 2.826938567441432237e+00 -1.571842324977815453e-01 -1.569823252171068939e-01 1.337593688323569729e+00 -1.266979296885018869e+00 -1.576057176641913471e-01 -1.297750638840782456e+00 6.126433538984243921e-01 -1.764408025848547834e-01 -4.481835025591868416e+00 -1.345392774617808929e+00 -7.500654848736765246e-02 6.116715991723943313e-01 3.622119175498352384e+00
9.332708858321304701e-01 -6.609464086057398324e-01 2.944189271962933674e+00 -1.600417008792207052e-01 -1.603624335656449462e-01 1.540930967380373495e+00 -1.231487588882214990e+00 -1.595115222905635899e-01 3.141752892330742508e-01 7.178544037881667839e-01 -1.739581875636932728e-01 -3.897819644111771176e+00 -9.702987262205807761e-01 1.896115898032531888e+00 5.572632354473924243e-01 3.688420491921676092e+00
1.089641242659568299e+00 -6.993427039546294965e-01 2.469173535644970663e+00 -1.632056960427263614e-01 -1.633400498664676070e-01 1.234477439439950697e+00 -9.769289977785255985e-01 -1.625179470458793241e-01 8.825746428341965100e-01 6.840053212662486892e-01 -1.751466751296150703e-01 -4.263007068457502768e+00 -9.740782667451335364e-01 5.208697160766447842e-01 6.520990648752104102e-01 3.524703712351826113e+00
9.285683908750399507e-01 -9.196814873305457771e-01 2.254252579198747775e+00 -1.601752175859519900e-01 -1.601866031151584768e-01 1.210494581930139146e+00 -1.201465493077213287e+00 -1.601588452461225331e-01 3.768990288377747078e-01 7.102154668164428752e-01 -1.749007758765054599e-01 -4.017780153894888073e+00 -1.072321230374708279e+00 8.154959198509342810e-01 5.845200294288284137e-01 4.008321639448992890e+00
